id	text	HS	TR	AG
4130	Was a legal Resident until she was Convicted of Shoplifting Deported then Came Back Illegally  Now She wants U,S Taxpayers to pay her Medical Bills  #SendHerBack let her family go with her !  #Immigration https://t.co/ggZBifzQoF	1	1	1
4134	Foreign Invader, Ernesto Esquivel-Garcia, 20, TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen&#x1f621;. ⁦@POTUS⁩ #DeportThemAll #BuildTheWall #lilbulli &#x1f1fa;&#x1f1f8;&#x2764;️ https://t.co/6QDpIAgIJP	1	1	1
4148	What an idiot. #buildthatwall	1	1	1
4433	Another illegal alien that shouldn't be in America killed an innocent American couple!#BuildThatWall #BuildTheWallNow @realDonaldTrump	1	1	1
4459	Germany: Moroccan migrant spits on a German woman and gets slapped in the face by a German grocery worker - Free Speech Time - https://t.co/nQTZjt8dia @ISupport_Israel	1	1	1
4588	Dear God - make it stop !!!    Illegal Alien from Mexico Accused of Raping 11-Year-Old Girl https://t.co/luSYDr0RnG via @BreitbartNews #StopTheInvasion @IngrahamAngle @Liz_Wheeler @TuckerCarlson @GrahamLedger @StolenLivesQlt @RepGoodlatte @RandPaul @realDonaldTrump	1	1	1
4667	Illegal alien accused of sexually assaulting 65-year-old had been deported 20 times https://t.co/aYBwHd4WHw#Preventable#StopTheInvasion	1	1	1
4668	@ChadPergram Hey illegal alien invader Hugger @NancyPelosi #StopTheInvasion#DeportThemAll#NoAmnesty#BuildTheWall	1	1	1
4679	@Ushimama1 @MielCaldero @USMC It is OBVIOUS from your tweet that you are too LOW IQ to understand or appreciate "immigration done the LEGAL way" so go whine to somone else. #Snowflakes#StopIllegalImmigration#BuildThatWall#MAGA	1	1	1
4704	RT @queenofdragonsb: Pls shut the fuck up bitch	1	1	1
4705	RT @21bIvck: "when u gonna get your license" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK	1	1	1
4708	You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????	1	1	1
4710	RT @vaintshit:  shut the fuck up and come suck my dick "	1	1	1
4712	@ArianasBotch Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you https://t.co/6BXkfxMEf9	1	1	1
4715	@Sundae_3 Shut the fuck up you cunt	1	1	1
4717	RT @Akhdre_: "You too skinny, imma hurt you" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare."	1	1	1
4724	Rica gets so much cock in her licked cunt https://t.co/wqrNHv5UOS	1	1	1
4725	Say you gon ride, bitch ride	1	1	1
4736	Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️	1	1	1
4752	Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... https://t.co/GlBx3SroY0	1	1	1
4756	wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!	1	1	1
4758	@Iovesyuno stupid bitch i hate you	1	1	1
4762	Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.	1	1	1
4765	@LisaBloom YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate https://t.co/Cd9vgXDoZQ	1	1	1
4767	Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig	1	1	1
4769	Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗	1	1	1
4771	@duastrouble @jacobsartorius Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒	1	1	1
4794	@connorfranta a bitch about to get pussy punched if she dont buy a new god damn book	1	1	1
4836	lol, chop her head off and rape the bitch https://t.co/ZB8CosmSD8	1	1	1
4841	@marjorieh1350 @teach_well @NickOrsini Suck my dick you stupid bitch.	1	1	1
4847	@Its_Diaamondd Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore	1	1	1
4902	@DaniellaMicaela YOU FVCKING CUNT BITCH!!! APOLOGIZE! @CNN @cnnbrk @CNNPolitics	1	1	1
4903	@AmericansRDumb1 dont u have anything better to do u cunt bitch	1	1	1
4913	@BarbeeDani You ain’t shit bitch shut your whore mouth	1	1	1
4915	What a suprise my Ex Wife is being a Whore for haloween wait until the kids turn 18 karen FUCK YO.u Whore Bitch You Lying Steali	1	1	1
4921	Im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face	1	1	1
4927	literally you keep minseok’s name out of your dirty whore mouth you can shit talk me all you want you cunt but leave him alone.	1	1	1
4928	This fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore	1	1	1
4961	@heatherglind Hey look its the woman who wants to get famous for crying about an ass slap. You truly are a worthless cunt.	1	1	1
4964	@Millie__Weaver Fuck you slut bitch hoe! He aint giving a shit what you think	1	1	1
4972	Yet another fame hungry whore Natasha Prince. More bullshit claims to give her tv time. Pathetic slut. Hope shes sent to jail #LockHerUp	1	1	1
4975	I'm actually really happy your ass got pregnant and that you're having a shotgun wedding. Karma is a bitch you cheating skank	1	1	1
4988	I'm just over here laughing at how this little ol' white girl came at Sam and thought she was gonna win... LIKE BITCH DO YOU KNOW WHO WE ARE	1	1	1
4989	@thebradfordfile Sweet. Broke-assed bitch will shut her jizz-hole for once. Once.	1	1	1
4991	@nonracialnigger Wow shut up you whore	1	1	1
5055	Pro Tip- Shut the fuck up when you're in my presence	1	1	1
5083	You a pussy bitch watch when I catch you I’m beat tf outta you	1	1	1
5095	@ THE BROKE BITCHES WHO ARE PARTYING IN MY OVARIES. I HOPE YOU FUCKING DIE AND ROT IN HELL YOU STUPID UGLY ASS BITCH	1	1	1
5100	@Nath569 Get up and walk the dog you little cunt before I ground you.	1	1	1
5101	STOP SMELLING THOSE SANDWINCHES YOU HIDEOUS COCK, SHE'S ESCAPING TO THE SIDE	1	1	1
5106	@em0_trash @Yogirlflaca bitch i'll give you this big ass dick then	1	1	1
5109	Got me wanting to give him them 5 kids for the dick, I’ll beat a bitch up bout my 🍆. Baby u the only one I need headass on that dick 😂	1	1	1
5110	@MidlothianPD To the girl cop who I caught looking through my window, While my car was parked. Suck my whole dick and die hoe.	1	1	1
5115	@_amanda_lol @inlistalex Ok bitch stfu now get over it suck a dick ride a dick choke on a dick and die	1	1	1
5117	If you ever tell me you’re curious about sucking cock you better believe that this is your future, slut 😂… https://t.co/Lk3EDrDohE	1	1	1
5128	Lil bitch that pussy so dry, You finna break the rubber	1	1	1
5131	@macy_fanning Thanks😁 I don't believe it's a downgrade. She ain't gotta googly eye. Don't talk shit on social media bitch. Your pussy smells	1	1	1
5134	@_itsniyaaaaa Bitch I said barely your obviously my friend don't make me come beat you up whore 💀😂😂😂	1	1	1
5135	@Vaes_Dothraki @TomiLahren suck my dick dumb bitch :)	1	1	1
5137	whoever hit my sister’s car then drove off last night you are a broke ass bitch and we about to catch ur stupid ass enjoy that hit and run 🌚	1	1	1
5143	If this hypothetical woman exists: shame on her. Real rape victims might say: FUCK YOU AND YOUR FALSE NARRATIVE. https://t.co/8fzASiKPl2	1	1	1
5149	can mnet stop being a bitch go suck my non existent dick and https://t.co/DDtZD76y0I	1	1	1
5164	Bitch no, you gone stay your ass here i missed you https://t.co/awHfU2bYjM	1	1	1
5165	And look at this shit. LOOK YOU SLUT. Stop distracting yourself with your flavored dildos and LOOK. LOOK YOU FUCKS. LOOOOOOOOOOOK!!!!	1	1	1
5174	@MaddySinclairXX I’d love to lick your pussy before and after a Big Black cock has fucked it! I’m in northwest Indiana HMU if you need a cuckold!!!	1	1	1
5182	I'm back in it bitch If the head game is right and that pussy feel good Throw a rack at that bitch	1	1	1
5186	@HiKarenH You need a thick Cock in your throat 😂😂	1	1	1
5187	@charlenealeisha You bitch too much over stupid shit go fuck your self stupid cunt you have shitty service anyway a… https://t.co/Ml3q077mwf	1	1	1
5197	Bitch gots me fucked up, claiming to be a grown ass women but yet you try to compare &; bitch you still ain't shit... so what's good?	1	1	1
5220	@whitneyrawlins suck me off upside down and chill?	1	1	1
5254	When he runs his hand up the back of your head, grabs a handful of hair, kisses you &; whispers 'your pussy is mine' https://t.co/LYE336utgZ	1	1	1
5285	DRAKE! I WILL RIP YOUR HAIR OUT IF I SEE YOU AND THIS BITCH TOGETHER https://t.co/9ZEofzbGbz	1	1	1
5304	@SaxahSarah I'll send Meechy at yo hoe if yo bitch keep eyein' me	1	1	1
5308	Get ur fucking knowledge up if u wanna sneak diss me. Lil stupid hoe	1	1	1
5309	@AnngelicaaPerez Bitch come out you love to talk shit on the phone that's why I let your dad know she raised a FUCKING HOE	1	1	1
5314	@JustAGurLnSwedn @Maggyw519 @BroderWriter @womensmarch @SenSanders Fuck off JAG you ignorant slut with your sad pink paper.	1	1	1
5321	You aint no shit, you lil' stupid ass bitch. #TuitSiMikeFueraDelGhetto	1	1	1
5323	Bitch stop playing with me and drop my shit off ! What u do after that ain't no problem because I know they gone send u back lil whore 😂😂	1	1	1
5330	@Slutty_Elf @RiotQuickshot You shut your whore mouth	1	1	1
5332	Fuck you, you hoe I don’t want you back	1	1	1
5338	@RRyan012 You are the sloppy queen of sucking cock	1	1	1
5339	Roses are red, violets are blue. You a bitch ass hoe, and yo momma one too. @sha_babyy17 Yeet	1	1	1
5352	To whatever pussy bitch that broke into my car, FUCK YOUUUUU	1	1	1
5366	Good bitch I’m glad u got dumped he is never coming back to your life dumb bitch you a hoe	1	1	1
5367	@iDliciouz Good bitch I’m happy u got dumped u a hoe stupid bitch u ugly u gonna b alone forever stupid hoe	1	1	1
5369	WHO'S THE WHORE NOW YOU PIECE OF SHIT	1	1	1
5399	@Goguen @MarcuzJauregui @Bathanii Shut the fuck up, you stupid ass bitch	1	1	1
5424	There is a big reason you are lonely and it’s because you are such a fricken whore that no man can trust or respect you, so stop bitchin’	1	1	1
5448	@MidevaChristy youre just a shameless stupid cunt .get a life !!	1	1	1
5462	Bitch your a fucking idiot, I don't even need a counter argument. More like you can't take your head out your ass s… https://t.co/qUHivJeAo6	1	1	1
5472	@Deeejjaaa if I get one more email from your ass ima blow that bitch up	1	1	1
5596	Fuck off you stupid cunt https://t.co/N5ASjrnHOm	1	1	1
5602	after nearly 2 years this bitch came back to our home only to be hysterical. when will this bitch get hit by a raging bus????	1	1	1
5674	@CarolineCatt you shouldn't be leaving your kitchen unattended #WomenSuck	1	1	1
5776	Move on and stop going back to the same asshole! Omg you dumb bitch! #WomenSuck	1	1	1
5779	No bitch you don't look like a model, nor will you ever. So stop saying youre ugly so people will call you pretty! #AttentionWhores	1	1	1
5782	not only r u fat and disgusting, but why do you feel the need to post photos of urself in a bikini. Who do you think ur fooling seabiscuit?	1	1	1
5842	You're dating such a douche bag omg. I just wanna punch YOU in the face for being so stupid. Not even him. #WomenSuck	1	1	1
5849	@whitneyrawlins we have the same bday... You should let me fuck your brains out and treat you like a cum dumpster on that day... #Bdaygoals	1	1	1
5862	When it's my birthday but you're the one that's getting spanked	1	1	1
5882	@ThcGreenBeast I hope that dumb cunt gets her face beat in by a black woman over hearing her using the word nigga.	1	1	1
5890	@shauna_m_miller DUMB CUNT STEALS FROM MY CAR GO TO HELL SLUT	1	1	1
5891	LOL.shut the fuck up ms 'NEVERWONAFIGHT' u a hoe skank slut cunt hypocritical BITCCH https://t.co/5n1vtNdCil	1	1	1
5904	dawgg im fr boutta roast this bitch LMFOAOO DONT EVER POST IAN AGAIN U STUPID ASS SLUT	1	1	1
5906	@JoeFreedomLove Laugh you bitch when a family member dies we on tweeter get the last laugh you slut	1	1	1
5937	keep lisa and jisoo out of your dirty mouth ugly skank ass bitch deactivate delete go get a life stay away from bla… https://t.co/LIzyMtI29q	1	1	1
5939	you low life scum, pathetic, deprave, pile of shit, maggots. like i said that brainless skank bitch should've died… https://t.co/Jdm8NEqaYz	1	1	1
5946	I could say so much more so keep your skank of a mouth closed you little whore or things will only get worse for you ;)	1	1	1
5947	she is our skank we r her guys we can fuck her that way she amost say please treat my like a whore honey https://t.co/csyoUOcBCA	1	1	1
5962	@AmericanHotLips @DHSgov @FBI @Alyssa_Milano Skank you are already in the streets. Make my money whore.	1	1	1
5969	@asr1018 @M_pritchh @angela_idalia Hey skank you wanna take a huge step back before we have to get everyone on your… https://t.co/U3zSojqdvG	1	1	1
5976	@IvankaTrump Go away skank. Go back to Pluto, or wherever in hell you came from. #AlertTheDayCareStaff #FlushTheToilet	1	1	1
5979	WHO.. ARE. YOOUU? This is not mario kart. You are no princess peach. Get your skank ass up out my lane or I take you off the goddamn road.	1	1	1
5981	@anettarzc1791 It should cost you more for being a dirty skank!	1	1	1
5987	@dlh8 @BarackObama Talk about NYers like that AFTER you've survived 9/11. Until then shut the fuck up. You are a nasty skank.	1	1	1
5988	@ekhatami Die in a fire you fucking skank.	1	1	1
5994	@TayrnG @WhiteHouse You are a stupid idiot. F U. NASTY TRASY SKANK	1	1	1
6011	fuckin butch ass cunt motherfucker bitch lick my foot https://t.co/yCmZBPz6hB	1	1	1
6016	If only I could get out and beat the cunt that just hit my car with 5 fucking kids in it...cops are fucking looking for you bitch 507TVB	1	1	1
6054	@Twitch_Pink @Greekgodx shut the fuck up bitch don’t talk to greek like that you whore go on chaturbate you dickhead	1	1	1
6087	NOTHING BUT A MONEY GRUBBING RUSSIAN CUNT WHORE!!!!!!!!!!	1	1	1
6088	@BerthaPuckerman this doesn’t apply to you but I hate you and your leo cunt twat whore kin. https://t.co/JFGoa9xPpO	1	1	1
6089	@htmlamanda you stupid cunt bitch! All women aren’t stupid, but all women who think like you are!!!!! Whore!	1	1	1
6100	@hindu_whore Yeah bitch that's where you deserve my CUM	1	1	1
6118	From why did i shag at fucking whore at kid is a mistake en the mis stake its self obviously we burnt a few innocent women thank them whores	1	1	1
6142	@shanedawson NAMES BITCH AND ILL END THAT CUNT	1	1	1
6152	LAUREL A CUNT AS BITCH FOR ABORTING !!! IDFK IF SHE REALLY DID BUT SHE TOLD HER DAD SO IM FUCKIN LIVIDDDDD	1	1	1
6159	@JudgeJeanine YOU MEXI SHITMOUTH UGLY A** BI**H GO FUCK A DEAD DOG YOU TRANNY WHORE CUNT REDSKIN PEICE OF SHIT LEAVE AMER TO AMER WHORE	1	1	1
6164	📷 pineapplecity: dogwhoreowner: Stupid cunt, that’s what the filthy whore deserves! That’s how all Men... https://t.co/S49GwEAXug	1	1	1
6179	Lifers wouldn't rape this sour faced cunt https://t.co/gJFqR3afAP	1	1	1
6181	I’m pretty sure rape is “overly sexual” why don’t you shut the fuck up and stop being such an ignorant little cunt https://t.co/n9RVrq0K2I	1	1	1
6182	@THFCJoshh @FortniteGame Good English you dumb cunt slober on my nob u Jew if you were playing I would fucking rape you cunt	1	1	1
6183	Fake rape bitch is still crying. LOL so upset he didn’t get the attention he wanted. Got your address btw little ra… https://t.co/Ukz71A9kWx	1	1	1
6189	@FoxNews Bitch on the left won’t be smiling. Let them in Hawaii. It will be rape Island	1	1	1
6203	@HugginsDanna White Bitch it’s you I wanna rape and fill with my cum and let you full of my load on the ground my b… https://t.co/oCQejMu4ej	1	1	1
6208	you seem like the type to have a rape kink? — ummmm well ok bitch https://t.co/jASrWs51GP	1	1	1
6209	I cant fucking believe yall call this rape bitch wtf	1	1	1
6212	I want this stupid bitch out of my head I've never even liked her lmao I just basically want to rape her	1	1	1
6215	If Superman were real rn I would make his bitch ass spin around the earth or threaten to rape Lois Lane lol I would go that far for cod lol	1	1	1
6216	Tryin to send that bitch back to her maker and if you got a daughter older than 15 I'ma rape her Take her... right there in front of you DMX	1	1	1
6218	This bitch dead flipped a tweet to about rape for attention. I done really seen it all	1	1	1
6222	@Wendys Why tf is Wendy’s rapping on twitter, get yo ass back in the kitchen before I rape that lil bitch in your profile pic	1	1	1
6223	@lindifferent @solangeknowles @vincestaples Bitch shut cho emo ass up before I rape you	1	1	1
6225	So now because of this bitch girls are going to think they can bargain their way out of a rape instead of fighting… https://t.co/tJmuuzwCph	1	1	1
6228	@Bethvanduyne This comes from a rape whore who forced sharia down the throats of her constituents.	1	1	1
6229	@IKantEvenToday @OpinionatedTool Jennifer Lawrence perfect example of fake ass whore calling rape.	1	1	1
6254	@KTHopkins Caveat: you must be a Muslim woman to avoid abuse, otherwise you are a permitted target of rape	1	1	1
6265	@melissafera_ SHUT THE FUCK UP. YOU DUMB WHORE.	1	1	1
6267	@phiphibb If YOU fuck the rapist then its not rape.	1	1	1
6291	@HelenaWayneBlog STFU with that stupid rape culture retardation.	1	1	1
6322	@Vuhhnessuhhh_ Bitch you don't know my mf life I'll see you when I do hoe	1	1	1
6387	@SindhuBoddu It will always be ready and hard for you to bring your holes and beat it with your cunt and ass https://t.co/OtoJQvC7FF	1	1	1
6390	if this big troglodyte bitch texts my man again im going to put bullet holes into your knee caps. i don't fight big white bitches they dogs	1	1	1
6397	okay bitch, fuck off it’s not your business🖕🏽🖕🏽 fall in a hole and get anal fucked by satan’s horn! BITCH https://t.co/TfTCsUtsGP	1	1	1
6398	Yall want sex to be some kinda spiritual rabbit hole soooo bad. *Just finished* Her: I'm hungry You: Me too bitch d… https://t.co/73gwV0YklW	1	1	1
6432	@Cumkitten_R2 your fucken hot im hot fuck hard do anything you want to be my slut whore and open your holes you HOT SLUT. WE LOVE TO FUCK	1	1	1
6433	Only if I can hire you to whore you out, and breed your cummy hole after. Black pimp, white bitch ♠️😏 https://t.co/qdevjpSIfV	1	1	1
6449	DUMB CUNT OMM, JUST KNOW IM COMIN FOR YOU HOE	1	1	1
8711	Bitch be starting lmao sis "do what you preach"??? Speak for your fucking self you fucking cunt	1	1	1
8713	.@FLOTUS, I didn't hear you saying anything when you husband was talking about grabbing women by the pussy. That's ok tho? Go play in the garden in your stilettos and stfu!	1	1	1
8716	I could not care less what the porn model skank thinks.	1	1	1
8722	@Sexyarse69 First ima smack that ass then eat that pussy from the back then wrap your hair around my hand while I choke you and slide in slow and long strokes tease u then start pounding that pussy	1	1	1
8725	Stupid dumb bitch I hate stupid dumb bitches Like stfu You dumb ass hoe Im so angry That youre dumb and stupid You make no sense Look at you talk out of your mouth Lmaoo BITCH you mad ignorant Be quiet bc you embarass yourself Sorry youre right i am less intelligent	1	1	1
8740	@chargenewtwit @NotZelta you gonna shut the fuck up pussy?	1	1	1
8749	@SocialPowerOne1 You know whats insane Dana!! Is how the NRA continues to get away with fucking murdering children in country! Why dont you shut the fuck up greedy skank !!	1	1	1
8752	@niallsfanlove @NiallOfficial @HaileeSteinfeld Bitch stfu stop acting like a fucking cunt	1	1	1
8757	bitch if you dont shut the fuck up and stop acting like the us isnt responsible for the repressive and brutal society that became afghanistan - theres pics of my gma in miniskirts in the 70s in iran, another country destabilized and vilified to drive american profit	1	1	1
8759	Stfu you lie out the gate lol tf you except ! You want pussy out the gate !!	1	1	1
8761	______________________| | Shut the fuck Up you pussy|______________________| \ / (- )	1	1	1
8773	@Tilly4PaulB @realDonaldTrump Such a skank you have to play on this.Get a life lol	1	1	1
8784	HOW FUCKING DARE YOU LOOK AT HER WHILE CALLING HIM HIS SPIRITUAL SON YOU CUNT FUCKING BITCH	1	1	1
8794	Yes I have a job And I'm pretty damn sure u dont make remotely close to what I make a week working 25 hours than what u make working 80 hours so shut the fuck up. I clearly said on the thread I had time yesterday....whore	1	1	1
8795	No room for full explanation here but regarding the hysterical women at the Kavanaugh hearing, the word hysteria is from a Greek word meaning wandering and disconnected uterus. There you have it.	1	1	1
8799	@MichelleRempel did you fight for women? Ever???? Did you fight against the AESO in our recession? Did you acknowledge sustainability in the context of our energy industry? Ever??? Shut your stupid fucking cunt mouth.	1	1	1
8803	@CurlyManJay @Medd1k stfu bitch nigga who told u to talk hoe	1	1	1
8818	@zachcampbel @NICKIMINAJ Bitch stfu you was just talking shit about her stop tryna get clout fat neck hoe	1	1	1
8819	Bitch stfu? I didnt asked you something, dumbass hoe? And obsessed? Shut you dirty ass, cause we all know esme was so obsessed with me that she keeped subtweeting about me LOOOOOOOOL	1	1	1
8842	MUMMY... NO bitch youll call me DADDY as you choke on my big dick! Youll call me DADDY when I bend you over and strech that cunt wide & split you in two! DADDY knows best. @rtfucker @RT4D1 @RTmutt @BrokeRTPig @RTsubby @rtsucker @RTSlutt @RTFD_ @RTPork @RTPiggyy @RTxxlslave	1	1	1
8857	@BrandNewKer Wtf is that skank bitch Kate here?! I don't want her on my tv.	1	1	1
8871	@SenKamalaHarris Hysterical Woman, you don't speak for me or other women in my household.	1	1	1
8874	Let's find this entitled little skank and make her life hell for as long as it takes to teach her a lesson. Portland, Oregon, someone knows her.	1	1	1
8877	Oh please stfu. No one cares Susan you told everyone Hillary was worse than trump you no longer get to tell us anything	1	1	1
8881	PSAYoure a slut but you dont fuck meBecause you sound like a cry baby bitch shut the fuck up already	1	1	1
8884	@AnnCoulter Ann, ever think you might be a bit hysterical yourself. You lost your ability to reason long ago. Not sure when you had the heartectomy. One thing for sure. You don't belong in the human race. Damn.	1	1	1
8906	@MoncaMonii I would enjoy standing back to watch you suck cocks and swallow huge loads of cum, while you're helpless. As you suck each cock I'll finger your pussy until you cum, while you choke on cocks and cum! When I do take you home, you'll be exhauste	1	1	1
8912	@minakimes Look at miss sandwich maker trying to talk shit. Bitch, you work for ESPN. You instantly know nothing about hockey. Shut up	1	1	1
8915	@rdag51509914 @OutlawsOW @DallasFuel Youre**** dumbass I give no fuck about you about your trashass wanna be Texas state team like I said til the beat outlaws in the battle of Texas eat my dick and shut the fuck up, pussy	1	1	1
8946	@Davina_Tgirl that your sissy slut bitch whore mouth needs to be gagging	1	1	1
8973	@likeablade Stop lying u skank bitch but white like u	1	1	1
9016	You call girls a hoe but youre a hoe too?? Lol stfu lame ass bitch	1	1	1
9062	@sana_____0 Fuck this fat pig bastard woman you fucking cunt. Wish I could cut your tits so that you could feel the pain cunt!!	1	1	1
9063	shut the fuck up bitch dont speak on my country or my people	1	1	1
9068	Shut the fuck up pls	1	1	1
9086	@nhandss_ Bitch stfu i talk to u everyday u the one who forget yo place, HOE	1	1	1
9098	Yall STAY making post about the LGBT community. You quoted my tweet and started bitching like the insecure little brat you are shut the fuck up and go cry to your mommy. I dont give a fuck about what you have to say.	1	1	1
9103	(1) @DebraMessing < STFU These women put their babies in harms way &Subject them 2 rape &more by the coyotes who they pay 2 bring them here.	1	1	1
9107	@ali_nicole_frye I mean. SHES FUCKIN TRASH. I told you this skank bitch is a skank bitch.	1	1	1
9110	@_EraX_ da fuck, you said if someone calls you hot 1 more time , you are gonna suck their dick, so do it you pussy, don't back off now	1	1	1
9120	@BlackInkChi @VH1 Lily doesnt know the meaning of Loyal. Shes a hothead alcoholic, mad cuz Jr dismissed her, So she runnin to kiss Ryan Ass! Bye Felicia, & take that skank ass Art thief that YOU hired Out the fuck as well!	1	1	1
9124	@HillaryClinton And you enabled your Jack ass hubby to rape women like JUANITA you are pathetic old and WILL NEVER BE PRESIDENT LOVE THE BASKET OF DEPLORABLES	1	1	1
9130	@KeelieSturm @CBCNews Muhhhhh privilege? Excuse me? IM OFFENDED!! HATE SPEECH!!! But of course you dont see the slippery slope.And yes, the made up arbitrary term hate speech is free speech. If you choose to get offended by shit, I suggest you get a backbone and grow the f*ck up you pussy.	1	1	1
9139	Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "tv claire" an that she needs to stay in the kitchen to cook for Jamie. Stfu bitch.	1	1	1
